risk_profile,investment_horizon,investment_amount,recommended_stock_category,recommended_mf_category
Moderate,Short-term,893513,Index,Index
Aggressive,Short-term,557404,Small-Cap,ELSS
Conservative,Medium-term,278818,Value,Hybrid
Aggressive,Long-term,420685,Small-Cap,ELSS
Aggressive,Long-term,277590,Growth,ELSS
Conservative,Short-term,134809,Dividend,Debt
Conservative,Long-term,817192,Index,Hybrid
Aggressive,Medium-term,536251,Small-Cap,Equity
Conservative,Medium-term,380425,Dividend,Debt
Conservative,Long-term,741362,Index,Debt
Conservative,Short-term,692622,Dividend,Debt
Moderate,Long-term,539465,Growth,ELSS
Aggressive,Medium-term,21160,Growth,ELSS
Aggressive,Short-term,375020,Small-Cap,Equity
Moderate,Long-term,17543,Index,ELSS
Aggressive,Short-term,903643,Growth,Equity
Conservative,Short-term,573566,Dividend,Debt
Aggressive,Medium-term,957111,Small-Cap,Equity
Conservative,Short-term,751195,Dividend,Debt
Moderate,Long-term,158293,Growth,ELSS
Conservative,Short-term,406539,Index,Debt
Aggressive,Short-term,848537,Small-Cap,Equity
Aggressive,Long-term,248913,Small-Cap,ELSS
Aggressive,Medium-term,348295,Growth,ELSS
Moderate,Medium-term,790268,Blend,Index
Moderate,Long-term,339112,Index,Index
Aggressive,Long-term,950742,Small-Cap,ELSS
Conservative,Medium-term,771319,Dividend,Hybrid
Moderate,Short-term,860262,Value,Index
Aggressive,Long-term,870399,Growth,Equity
Aggressive,Short-term,149402,Small-Cap,Equity
Moderate,Long-term,185225,Growth,Equity
Moderate,Medium-term,805043,Growth,Equity
Moderate,Short-term,286016,Value,Hybrid
Conservative,Short-term,845887,Dividend,Debt
Conservative,Long-term,831362,Index,Debt
Aggressive,Short-term,868454,Growth,Equity
Moderate,Long-term,72714,Growth,Equity
Conservative,Medium-term,659194,Value,Debt
Moderate,Short-term,976220,Index,Hybrid
Aggressive,Long-term,380866,Small-Cap,ELSS
Conservative,Short-term,863136,Dividend,Debt
Conservative,Long-term,10415,Index,Debt
Conservative,Long-term,610729,Dividend,Debt
Aggressive,Long-term,646024,Growth,ELSS
Moderate,Medium-term,605067,Index,Hybrid
Conservative,Short-term,757916,Dividend,Debt
Aggressive,Medium-term,884876,Small-Cap,ELSS
Moderate,Long-term,998939,Index,ELSS
Aggressive,Long-term,114448,Small-Cap,Equity
Moderate,Medium-term,282032,Growth,Equity
Aggressive,Medium-term,186371,Small-Cap,Equity
Moderate,Short-term,134790,Index,Index
Conservative,Long-term,593053,Index,Hybrid
Moderate,Medium-term,203786,Blend,Hybrid
Aggressive,Long-term,25935,Small-Cap,ELSS
Aggressive,Long-term,869434,Growth,ELSS
Moderate,Short-term,352775,Value,Index
Conservative,Short-term,535608,Dividend,Debt
Conservative,Short-term,318176,Dividend,Debt
Moderate,Medium-term,612051,Blend,Equity
Moderate,Long-term,945411,Index,ELSS
Aggressive,Medium-term,310146,Growth,ELSS
Conservative,Medium-term,448054,Index,Hybrid
Moderate,Short-term,573200,Value,Hybrid
Conservative,Long-term,272696,Index,Index
Moderate,Long-term,554428,Growth,ELSS
Moderate,Short-term,95591,Index,Hybrid
Conservative,Long-term,189809,Index,Index
Moderate,Short-term,567655,Index,Index
Moderate,Medium-term,221706,Growth,Index
Aggressive,Medium-term,558349,Small-Cap,ELSS
Moderate,Short-term,368734,Value,Hybrid
Moderate,Medium-term,838556,Index,Equity
Moderate,Medium-term,973142,Blend,Equity
Aggressive,Short-term,494331,Small-Cap,Equity
Conservative,Medium-term,405198,Dividend,Hybrid
Aggressive,Long-term,912754,Small-Cap,ELSS
Aggressive,Medium-term,902566,Small-Cap,Equity
Conservative,Short-term,832197,Index,Debt
Aggressive,Long-term,354750,Small-Cap,ELSS
Conservative,Long-term,892854,Index,Hybrid
Aggressive,Medium-term,644198,Small-Cap,Equity
Conservative,Long-term,851113,Index,Index
Moderate,Short-term,990736,Index,Index
Aggressive,Long-term,858781,Small-Cap,ELSS
Aggressive,Medium-term,634351,Small-Cap,ELSS
Aggressive,Medium-term,73474,Growth,ELSS
Aggressive,Long-term,694873,Small-Cap,Equity
Moderate,Short-term,819024,Index,Index
Aggressive,Short-term,384340,Small-Cap,Equity
Moderate,Medium-term,820050,Growth,Index
Moderate,Medium-term,61632,Index,Equity
Moderate,Short-term,418625,Index,Hybrid
Moderate,Long-term,19529,Index,Equity
Conservative,Long-term,918596,Index,Hybrid
Conservative,Long-term,558442,Dividend,Debt
Aggressive,Long-term,42882,Small-Cap,ELSS
Conservative,Short-term,579205,Dividend,Debt
Conservative,Medium-term,616776,Index,Debt
Aggressive,Medium-term,549989,Growth,Equity
Aggressive,Long-term,216353,Growth,ELSS
Aggressive,Short-term,755231,Growth,ELSS
Conservative,Short-term,602513,Dividend,Debt
Conservative,Long-term,915710,Dividend,Index
Aggressive,Long-term,717852,Growth,ELSS
Moderate,Long-term,12988,Index,ELSS
Aggressive,Medium-term,45919,Growth,Equity
Moderate,Long-term,513239,Growth,Index
Moderate,Medium-term,713786,Index,Index
Aggressive,Short-term,717527,Growth,Equity
Aggressive,Short-term,19013,Growth,Equity
Aggressive,Medium-term,442329,Growth,Equity
Conservative,Medium-term,668934,Index,Debt
Moderate,Medium-term,763376,Index,Index
Conservative,Medium-term,17838,Index,Debt
Conservative,Long-term,41368,Dividend,Hybrid
Aggressive,Short-term,566516,Growth,ELSS
Conservative,Long-term,257368,Dividend,Index
Aggressive,Medium-term,977215,Small-Cap,Equity
Moderate,Long-term,318241,Index,Equity
Aggressive,Long-term,196845,Small-Cap,Equity
Conservative,Short-term,956143,Dividend,Debt
Conservative,Long-term,418039,Dividend,Index
Aggressive,Short-term,688870,Small-Cap,Equity
Aggressive,Medium-term,139802,Small-Cap,ELSS
Conservative,Long-term,834765,Dividend,Hybrid
Moderate,Medium-term,276579,Index,Index
Moderate,Short-term,834850,Value,Hybrid
Aggressive,Medium-term,67955,Growth,ELSS
Moderate,Medium-term,331651,Index,Equity
Conservative,Short-term,61033,Dividend,Debt
Aggressive,Medium-term,751449,Growth,Equity
Conservative,Medium-term,869404,Value,Debt
Conservative,Medium-term,636300,Dividend,Debt
Moderate,Long-term,57219,Growth,Equity
Aggressive,Medium-term,699837,Growth,ELSS
Aggressive,Short-term,492996,Growth,Equity
Moderate,Long-term,708081,Growth,Index
Conservative,Long-term,208300,Index,Hybrid
Conservative,Short-term,418739,Dividend,Debt
Conservative,Medium-term,566614,Index,Hybrid
Conservative,Long-term,384770,Index,Hybrid
Aggressive,Long-term,183277,Small-Cap,ELSS
Aggressive,Long-term,927629,Small-Cap,Equity
Moderate,Medium-term,863167,Index,Hybrid
Moderate,Long-term,376540,Index,ELSS
Aggressive,Short-term,26375,Small-Cap,Equity
Aggressive,Medium-term,143783,Small-Cap,Equity
Conservative,Short-term,959941,Dividend,Debt
Conservative,Short-term,955526,Dividend,Debt
Moderate,Long-term,281326,Growth,Equity
Aggressive,Long-term,627465,Small-Cap,ELSS
Moderate,Long-term,629354,Growth,Equity
Aggressive,Short-term,920833,Growth,Equity
Conservative,Medium-term,884580,Dividend,Debt
Moderate,Long-term,999035,Index,ELSS
Moderate,Long-term,444166,Index,Index
Aggressive,Short-term,900238,Growth,Equity
Conservative,Medium-term,153992,Value,Hybrid
Moderate,Short-term,556432,Index,Hybrid
Conservative,Long-term,130270,Dividend,Hybrid
Moderate,Short-term,749778,Value,Index
Conservative,Long-term,667925,Index,Index
Aggressive,Medium-term,98909,Small-Cap,ELSS
Moderate,Short-term,457158,Index,Index
Moderate,Long-term,211632,Growth,ELSS
Conservative,Long-term,952195,Index,Hybrid
Conservative,Long-term,664949,Index,Hybrid
Moderate,Long-term,305943,Growth,Equity
Aggressive,Short-term,469993,Growth,Equity
Conservative,Long-term,44510,Index,Debt
Conservative,Short-term,507229,Index,Debt
Conservative,Long-term,97919,Dividend,Hybrid
Moderate,Short-term,123043,Index,Index
Moderate,Short-term,742726,Index,Hybrid
Moderate,Long-term,432191,Growth,Index
Moderate,Long-term,325386,Growth,ELSS
Aggressive,Long-term,56546,Small-Cap,ELSS
Aggressive,Long-term,495303,Small-Cap,ELSS
Moderate,Medium-term,688627,Index,Index
Aggressive,Long-term,490265,Growth,Equity
Conservative,Long-term,866371,Dividend,Debt
Conservative,Long-term,917697,Index,Hybrid
Conservative,Short-term,801329,Dividend,Debt
Moderate,Long-term,141235,Growth,Index
Conservative,Short-term,242686,Dividend,Debt
Aggressive,Short-term,324684,Small-Cap,Equity
Moderate,Short-term,486131,Index,Hybrid
Aggressive,Short-term,254367,Small-Cap,Equity
Conservative,Medium-term,826462,Index,Hybrid
Conservative,Long-term,65313,Index,Hybrid
Conservative,Short-term,924502,Dividend,Debt
Moderate,Long-term,39870,Index,Equity
Aggressive,Short-term,912997,Small-Cap,Equity
Moderate,Medium-term,134703,Growth,Equity
Moderate,Short-term,432698,Index,Index
Conservative,Long-term,958562,Dividend,Debt
Moderate,Long-term,329399,Index,ELSS
Moderate,Medium-term,888839,Index,Equity
Conservative,Long-term,652240,Index,Index
Moderate,Long-term,468146,Index,Equity
Conservative,Short-term,453716,Dividend,Debt
Conservative,Long-term,794689,Index,Hybrid
Conservative,Short-term,953883,Dividend,Debt
Conservative,Medium-term,471003,Value,Hybrid
Moderate,Long-term,905828,Index,Equity
Conservative,Short-term,295818,Dividend,Debt
Conservative,Long-term,789833,Dividend,Hybrid
Moderate,Short-term,671950,Value,Index
Moderate,Medium-term,958936,Index,Equity
Aggressive,Short-term,312570,Small-Cap,ELSS
Moderate,Long-term,59584,Index,Equity
Moderate,Short-term,753023,Value,Hybrid
Aggressive,Long-term,703375,Growth,ELSS
Moderate,Medium-term,607539,Growth,Index
Moderate,Short-term,79353,Value,Hybrid
Moderate,Long-term,891461,Growth,Index
Moderate,Long-term,92990,Index,Index
Aggressive,Long-term,801032,Small-Cap,ELSS
Moderate,Short-term,690050,Value,Hybrid
Moderate,Short-term,642574,Index,Hybrid
Aggressive,Short-term,305906,Small-Cap,Equity
Conservative,Medium-term,391150,Index,Debt
Aggressive,Long-term,702859,Small-Cap,ELSS
Conservative,Long-term,491204,Index,Index
Aggressive,Medium-term,410886,Growth,Equity
Aggressive,Medium-term,227759,Growth,Equity
Moderate,Short-term,551629,Value,Hybrid
Conservative,Short-term,105140,Index,Debt
Moderate,Short-term,880506,Index,Hybrid
Conservative,Short-term,27015,Dividend,Debt
Aggressive,Short-term,906612,Small-Cap,Equity
Aggressive,Short-term,992630,Small-Cap,Equity
Conservative,Medium-term,658869,Dividend,Debt
Moderate,Medium-term,720557,Index,Index
Moderate,Medium-term,59849,Index,Equity
Moderate,Long-term,386863,Growth,Equity
Moderate,Long-term,25852,Index,ELSS
Aggressive,Short-term,589649,Growth,Equity
Aggressive,Medium-term,383938,Growth,ELSS
Aggressive,Long-term,686618,Small-Cap,Equity
Aggressive,Long-term,596643,Small-Cap,ELSS
Aggressive,Medium-term,969012,Small-Cap,ELSS
Moderate,Long-term,995288,Growth,Equity
Moderate,Long-term,396917,Growth,ELSS
Moderate,Medium-term,474944,Blend,Equity
Moderate,Long-term,37410,Index,Equity
Aggressive,Medium-term,795334,Small-Cap,Equity
Aggressive,Long-term,937399,Small-Cap,Equity
Aggressive,Medium-term,213014,Small-Cap,Equity
Conservative,Long-term,568212,Index,Index
Moderate,Long-term,909054,Index,Equity
Moderate,Medium-term,772199,Growth,Hybrid
Aggressive,Long-term,867263,Small-Cap,Equity
Moderate,Medium-term,415480,Index,Equity
Moderate,Medium-term,300182,Index,Equity
Aggressive,Long-term,245530,Small-Cap,ELSS
Conservative,Short-term,913368,Dividend,Debt
Conservative,Long-term,281280,Index,Debt
Conservative,Short-term,285357,Dividend,Debt
Aggressive,Short-term,218680,Growth,Equity
Moderate,Long-term,118546,Growth,Index
Aggressive,Short-term,504805,Growth,Equity
Aggressive,Medium-term,561719,Growth,Equity
Moderate,Medium-term,52290,Index,Equity
Conservative,Short-term,995043,Index,Debt
Conservative,Medium-term,488751,Index,Debt
Aggressive,Long-term,893247,Growth,ELSS
Conservative,Medium-term,140374,Dividend,Hybrid
Aggressive,Short-term,52747,Small-Cap,ELSS
Aggressive,Long-term,610262,Small-Cap,Equity
Moderate,Medium-term,876195,Index,Equity
Moderate,Long-term,734568,Growth,ELSS
Moderate,Short-term,663420,Index,Hybrid
Aggressive,Medium-term,345138,Small-Cap,Equity
Moderate,Long-term,749435,Growth,Equity
Conservative,Long-term,865447,Index,Hybrid
Conservative,Medium-term,680247,Dividend,Debt
Aggressive,Long-term,529116,Small-Cap,ELSS
Aggressive,Long-term,534339,Small-Cap,Equity
Moderate,Short-term,864127,Index,Index
Aggressive,Short-term,473142,Small-Cap,ELSS
Aggressive,Short-term,226643,Growth,ELSS
Conservative,Short-term,263116,Dividend,Debt
Conservative,Short-term,300635,Index,Debt
Moderate,Short-term,812512,Index,Hybrid
Aggressive,Medium-term,569168,Small-Cap,ELSS
Aggressive,Short-term,201037,Growth,Equity
Conservative,Long-term,383200,Index,Hybrid
Aggressive,Medium-term,57361,Small-Cap,ELSS
Conservative,Long-term,359829,Index,Debt
Moderate,Short-term,877307,Value,Index
Conservative,Short-term,104841,Index,Debt
Aggressive,Long-term,732250,Small-Cap,ELSS
Moderate,Long-term,998660,Growth,Equity
Conservative,Long-term,472506,Index,Hybrid
Conservative,Medium-term,944097,Value,Debt
Moderate,Short-term,943671,Index,Index
Moderate,Long-term,524136,Growth,ELSS
Conservative,Short-term,525750,Index,Debt
Aggressive,Long-term,884523,Small-Cap,ELSS
Conservative,Short-term,567293,Index,Debt
Moderate,Medium-term,247903,Blend,Equity
Conservative,Short-term,794446,Dividend,Debt
Moderate,Long-term,599759,Index,Equity
Moderate,Short-term,661006,Value,Hybrid
Aggressive,Medium-term,116379,Small-Cap,ELSS
Moderate,Medium-term,847160,Index,Equity
Moderate,Short-term,674051,Value,Hybrid
Aggressive,Long-term,19756,Growth,Equity
Moderate,Medium-term,657958,Index,Hybrid
Aggressive,Medium-term,832740,Growth,ELSS
Aggressive,Short-term,74079,Growth,Equity
Moderate,Medium-term,599812,Growth,Equity
Moderate,Medium-term,463682,Index,Hybrid
Conservative,Long-term,543615,Index,Hybrid
Aggressive,Long-term,956024,Small-Cap,ELSS
Conservative,Long-term,184380,Dividend,Index
Moderate,Short-term,115561,Index,Index
Conservative,Medium-term,366580,Index,Debt
Aggressive,Short-term,26533,Growth,Equity
Conservative,Medium-term,531970,Dividend,Hybrid
Aggressive,Medium-term,107417,Small-Cap,ELSS
Moderate,Medium-term,365462,Index,Index
Moderate,Long-term,709848,Growth,Equity
Aggressive,Short-term,732520,Small-Cap,ELSS
Moderate,Short-term,50429,Value,Hybrid
Moderate,Medium-term,454942,Index,Index
Moderate,Short-term,358492,Index,Index
Moderate,Long-term,869497,Growth,Equity
Aggressive,Short-term,423869,Small-Cap,Equity
Conservative,Medium-term,984425,Dividend,Hybrid
Conservative,Long-term,889828,Dividend,Hybrid
Moderate,Long-term,547942,Index,Equity
Conservative,Medium-term,405324,Index,Hybrid
Conservative,Short-term,341627,Dividend,Debt
Moderate,Medium-term,542187,Blend,Equity
Moderate,Short-term,154444,Index,Index
Conservative,Short-term,440898,Dividend,Debt
Aggressive,Long-term,892341,Growth,ELSS
Moderate,Medium-term,901403,Blend,Equity
Aggressive,Long-term,471015,Growth,ELSS
Conservative,Medium-term,626012,Value,Hybrid
Moderate,Medium-term,964087,Blend,Hybrid
Aggressive,Long-term,39295,Growth,Equity
Moderate,Medium-term,469329,Blend,Equity
Conservative,Medium-term,352709,Value,Hybrid
Aggressive,Short-term,59574,Growth,Equity
Conservative,Medium-term,373211,Index,Debt
Conservative,Medium-term,206006,Value,Hybrid
Moderate,Long-term,40066,Index,ELSS
Aggressive,Long-term,224221,Small-Cap,ELSS
Conservative,Medium-term,750456,Index,Hybrid
Conservative,Short-term,150017,Dividend,Debt
Aggressive,Short-term,39418,Small-Cap,Equity
Conservative,Long-term,92607,Index,Debt
Conservative,Medium-term,584162,Value,Debt
Aggressive,Medium-term,908590,Small-Cap,Equity
Aggressive,Short-term,420346,Small-Cap,ELSS
Aggressive,Short-term,882689,Small-Cap,ELSS
Aggressive,Short-term,140538,Small-Cap,Equity
Moderate,Long-term,995752,Growth,ELSS
Aggressive,Medium-term,223699,Small-Cap,ELSS
Moderate,Long-term,222465,Growth,Equity
Moderate,Medium-term,444610,Growth,Index
Moderate,Long-term,514588,Growth,ELSS
Conservative,Medium-term,583923,Dividend,Hybrid
Moderate,Short-term,267470,Value,Index
Moderate,Short-term,909455,Index,Hybrid
Conservative,Short-term,371981,Dividend,Debt
Conservative,Long-term,223161,Dividend,Index
Conservative,Short-term,289548,Index,Debt
Aggressive,Medium-term,606917,Small-Cap,ELSS
Conservative,Long-term,23156,Index,Debt
Conservative,Medium-term,458834,Dividend,Debt
Moderate,Long-term,59999,Growth,ELSS
Conservative,Medium-term,417001,Value,Debt
Aggressive,Medium-term,189431,Growth,ELSS
Conservative,Long-term,494023,Dividend,Debt
Aggressive,Long-term,286838,Growth,ELSS
Conservative,Short-term,963618,Index,Debt
Conservative,Short-term,865981,Dividend,Debt
Conservative,Medium-term,198302,Dividend,Hybrid
Conservative,Medium-term,42799,Dividend,Debt
Aggressive,Medium-term,886720,Small-Cap,Equity
Aggressive,Long-term,152228,Small-Cap,Equity
Moderate,Long-term,937808,Growth,Equity
Aggressive,Short-term,312789,Growth,Equity
Conservative,Medium-term,704298,Dividend,Debt
Moderate,Short-term,460198,Index,Index
Moderate,Long-term,349758,Index,ELSS
Moderate,Long-term,232686,Growth,Index
Conservative,Long-term,143387,Index,Hybrid
Aggressive,Short-term,238339,Small-Cap,Equity
Conservative,Long-term,894801,Index,Hybrid
Moderate,Medium-term,22420,Blend,Index
Conservative,Short-term,290456,Dividend,Debt
Conservative,Long-term,817827,Index,Hybrid
Aggressive,Short-term,312445,Growth,Equity
Aggressive,Short-term,261985,Growth,Equity
Moderate,Long-term,56972,Index,ELSS
Conservative,Long-term,597582,Dividend,Hybrid
Conservative,Short-term,90853,Index,Debt
Aggressive,Short-term,654423,Small-Cap,Equity
Conservative,Long-term,975729,Dividend,Hybrid
Conservative,Medium-term,92504,Value,Debt
Conservative,Short-term,819286,Dividend,Debt
Aggressive,Short-term,131373,Small-Cap,Equity
Moderate,Medium-term,342924,Growth,Equity
Moderate,Long-term,434145,Index,Index
Conservative,Long-term,378602,Dividend,Index
Moderate,Medium-term,853535,Growth,Hybrid
Aggressive,Long-term,519652,Small-Cap,Equity
Aggressive,Long-term,335764,Small-Cap,Equity
Moderate,Short-term,886022,Index,Hybrid
Moderate,Short-term,880556,Index,Hybrid
Conservative,Short-term,841022,Dividend,Debt
Moderate,Medium-term,896628,Blend,Equity
Conservative,Long-term,606842,Dividend,Debt
Conservative,Long-term,413837,Index,Index
Aggressive,Short-term,127781,Small-Cap,Equity
Aggressive,Short-term,535261,Small-Cap,ELSS
Aggressive,Medium-term,784072,Small-Cap,Equity
Aggressive,Long-term,250210,Small-Cap,ELSS
Moderate,Medium-term,855218,Blend,Equity
Aggressive,Long-term,114919,Small-Cap,ELSS
Moderate,Medium-term,47097,Index,Equity
Aggressive,Short-term,131403,Small-Cap,ELSS
Moderate,Medium-term,830677,Index,Equity
Conservative,Medium-term,730571,Value,Hybrid
Moderate,Short-term,589129,Value,Hybrid
Moderate,Long-term,559634,Index,ELSS
Aggressive,Long-term,639921,Growth,ELSS
Moderate,Short-term,606268,Index,Index
Conservative,Medium-term,100417,Dividend,Debt
Conservative,Medium-term,452369,Dividend,Debt
Aggressive,Medium-term,873374,Growth,ELSS
Conservative,Long-term,901579,Index,Debt
Moderate,Medium-term,887407,Index,Equity
Conservative,Long-term,802404,Index,Hybrid
Aggressive,Medium-term,844495,Growth,ELSS
Moderate,Short-term,992992,Index,Index
Aggressive,Short-term,140017,Small-Cap,Equity
Moderate,Long-term,853487,Index,Equity
Conservative,Long-term,768769,Dividend,Hybrid
Aggressive,Short-term,467582,Small-Cap,Equity
Aggressive,Short-term,152003,Small-Cap,ELSS
Moderate,Medium-term,673062,Blend,Hybrid
Aggressive,Short-term,619122,Growth,ELSS
Moderate,Long-term,949044,Growth,ELSS
Moderate,Short-term,853882,Index,Index
Moderate,Long-term,762936,Index,ELSS
Moderate,Long-term,599540,Index,Equity
Conservative,Medium-term,56904,Value,Hybrid
Moderate,Medium-term,62320,Index,Hybrid
Aggressive,Medium-term,303144,Small-Cap,ELSS
Conservative,Medium-term,105341,Index,Hybrid
Aggressive,Short-term,792884,Growth,Equity
Conservative,Medium-term,799031,Dividend,Debt
Moderate,Short-term,359780,Index,Hybrid
Conservative,Medium-term,761405,Index,Hybrid
Conservative,Medium-term,750079,Index,Debt
Aggressive,Long-term,721525,Small-Cap,Equity
Aggressive,Short-term,199927,Small-Cap,Equity
Moderate,Long-term,244849,Growth,Index
Conservative,Medium-term,534306,Dividend,Debt
Conservative,Short-term,141930,Dividend,Debt
Conservative,Medium-term,429208,Index,Debt
Moderate,Long-term,435796,Index,ELSS
Moderate,Short-term,343060,Value,Hybrid
Moderate,Long-term,701160,Growth,ELSS
Moderate,Medium-term,915625,Growth,Index
Moderate,Medium-term,593058,Blend,Hybrid
Aggressive,Medium-term,982445,Small-Cap,ELSS
Conservative,Short-term,225523,Dividend,Debt
Conservative,Long-term,246847,Dividend,Index
Conservative,Long-term,833919,Index,Hybrid
Conservative,Medium-term,154015,Index,Debt
Conservative,Long-term,506383,Index,Hybrid
Conservative,Short-term,112342,Dividend,Debt
Conservative,Medium-term,595745,Value,Debt
Conservative,Medium-term,528327,Dividend,Hybrid
Aggressive,Medium-term,290980,Growth,Equity
Conservative,Short-term,897582,Dividend,Debt
Aggressive,Medium-term,509584,Small-Cap,Equity
Moderate,Medium-term,807826,Blend,Equity
Conservative,Medium-term,344302,Value,Debt
Moderate,Medium-term,527912,Blend,Hybrid
Moderate,Long-term,396804,Index,ELSS
Moderate,Medium-term,644887,Growth,Equity
Aggressive,Short-term,821712,Small-Cap,ELSS
Moderate,Medium-term,134221,Blend,Equity
Moderate,Medium-term,259222,Blend,Equity
Moderate,Long-term,87318,Growth,Equity
Conservative,Medium-term,928663,Index,Hybrid
Conservative,Long-term,342306,Dividend,Debt
Aggressive,Short-term,426656,Small-Cap,Equity
Aggressive,Long-term,324856,Small-Cap,ELSS
Conservative,Medium-term,795072,Dividend,Hybrid
Aggressive,Short-term,381722,Growth,Equity
Conservative,Medium-term,524021,Value,Hybrid
Moderate,Long-term,713016,Growth,ELSS
Moderate,Short-term,671949,Index,Hybrid
Aggressive,Short-term,844673,Small-Cap,Equity
Conservative,Long-term,789955,Index,Hybrid
Conservative,Long-term,557521,Dividend,Hybrid
Aggressive,Short-term,176083,Growth,Equity
Conservative,Short-term,804609,Dividend,Debt
Moderate,Long-term,533099,Growth,ELSS
Aggressive,Medium-term,175600,Growth,Equity
Aggressive,Short-term,648794,Small-Cap,Equity
Conservative,Long-term,769106,Index,Debt
Aggressive,Medium-term,595639,Growth,ELSS
Conservative,Short-term,888340,Dividend,Debt
Conservative,Short-term,460047,Dividend,Debt
Conservative,Long-term,586115,Index,Hybrid
Conservative,Medium-term,426724,Index,Debt
Conservative,Short-term,982437,Dividend,Debt
Aggressive,Medium-term,614789,Small-Cap,ELSS
Moderate,Medium-term,78772,Blend,Hybrid
Moderate,Short-term,549899,Index,Hybrid
Aggressive,Medium-term,163354,Growth,Equity
Aggressive,Short-term,837435,Small-Cap,ELSS
Moderate,Medium-term,746725,Index,Equity
Moderate,Short-term,477432,Value,Hybrid
Moderate,Long-term,784324,Index,ELSS
Moderate,Short-term,152412,Value,Hybrid
Moderate,Short-term,368773,Index,Hybrid
Conservative,Short-term,358787,Dividend,Debt
Aggressive,Medium-term,871116,Growth,Equity
Conservative,Long-term,380754,Index,Index
Moderate,Medium-term,916764,Blend,Hybrid
Moderate,Medium-term,93035,Growth,Index
Moderate,Short-term,814597,Index,Hybrid
Conservative,Medium-term,643610,Value,Debt
Conservative,Short-term,421476,Index,Debt
Moderate,Long-term,64515,Index,Equity
Conservative,Medium-term,755812,Index,Hybrid
Conservative,Medium-term,119446,Index,Hybrid
Moderate,Medium-term,564768,Blend,Hybrid
Conservative,Short-term,717887,Dividend,Debt
Aggressive,Short-term,69789,Small-Cap,ELSS
Aggressive,Medium-term,717262,Small-Cap,Equity
Aggressive,Medium-term,42191,Growth,ELSS
Aggressive,Long-term,593776,Small-Cap,ELSS
Moderate,Long-term,740442,Growth,ELSS
Moderate,Long-term,177116,Index,Equity
Moderate,Long-term,714960,Growth,ELSS
Aggressive,Long-term,883889,Small-Cap,ELSS
Aggressive,Short-term,714136,Growth,Equity
Conservative,Long-term,898908,Index,Hybrid
Conservative,Long-term,514703,Index,Hybrid
Aggressive,Medium-term,940340,Small-Cap,Equity
Aggressive,Short-term,608813,Growth,Equity
Aggressive,Long-term,849080,Small-Cap,Equity
Aggressive,Long-term,548028,Small-Cap,Equity
Conservative,Long-term,892148,Index,Debt
Aggressive,Medium-term,678462,Small-Cap,Equity
Conservative,Medium-term,221965,Dividend,Debt
Aggressive,Medium-term,454550,Growth,ELSS
Aggressive,Long-term,926109,Growth,ELSS
Aggressive,Medium-term,123917,Growth,ELSS
Conservative,Long-term,957759,Index,Index
Conservative,Short-term,635918,Dividend,Debt
Moderate,Long-term,559509,Growth,Equity
Aggressive,Medium-term,73265,Small-Cap,Equity
Moderate,Short-term,535007,Index,Hybrid
Moderate,Long-term,224514,Index,Equity
Conservative,Short-term,950644,Dividend,Debt
Conservative,Short-term,983283,Index,Debt
Moderate,Short-term,142141,Value,Hybrid
Aggressive,Long-term,589002,Small-Cap,Equity
Conservative,Medium-term,83285,Dividend,Hybrid
Aggressive,Long-term,285079,Small-Cap,Equity
Aggressive,Medium-term,506407,Growth,Equity
Moderate,Long-term,915794,Index,Index
Moderate,Long-term,578323,Growth,Index
Moderate,Long-term,398831,Growth,ELSS
Moderate,Medium-term,892688,Blend,Equity
Conservative,Long-term,431153,Index,Index
Conservative,Short-term,290684,Dividend,Debt
Moderate,Long-term,607768,Growth,Index
Conservative,Short-term,845134,Dividend,Debt
Moderate,Medium-term,88283,Blend,Equity
Aggressive,Medium-term,741401,Small-Cap,Equity
Aggressive,Long-term,777113,Growth,ELSS
Aggressive,Long-term,480449,Small-Cap,Equity
Moderate,Long-term,964411,Growth,ELSS
Aggressive,Short-term,156293,Growth,Equity
Conservative,Medium-term,326925,Index,Debt
Aggressive,Short-term,541375,Small-Cap,ELSS
Aggressive,Short-term,294933,Growth,Equity
Aggressive,Long-term,459239,Small-Cap,ELSS
Conservative,Long-term,436616,Index,Hybrid
Moderate,Short-term,667559,Value,Hybrid
Conservative,Short-term,188388,Dividend,Debt
Moderate,Long-term,883705,Index,ELSS
Moderate,Long-term,455278,Index,ELSS
Aggressive,Short-term,125310,Growth,ELSS
Moderate,Long-term,474825,Index,Equity
Conservative,Long-term,157816,Index,Debt
Conservative,Short-term,479311,Dividend,Debt
Moderate,Short-term,196589,Value,Index
Aggressive,Medium-term,108231,Growth,ELSS
Aggressive,Short-term,714225,Growth,Equity
Conservative,Long-term,477153,Index,Debt
Aggressive,Short-term,742555,Growth,Equity
Moderate,Short-term,510642,Index,Hybrid
Moderate,Short-term,548182,Value,Index
Conservative,Medium-term,432376,Value,Debt
Moderate,Medium-term,325239,Growth,Equity
Conservative,Long-term,563560,Dividend,Hybrid
Moderate,Medium-term,588309,Index,Equity
Conservative,Short-term,231120,Dividend,Debt
Aggressive,Medium-term,43645,Growth,ELSS
Moderate,Short-term,908511,Value,Hybrid
Moderate,Medium-term,31179,Blend,Equity
Conservative,Medium-term,544979,Dividend,Debt
Conservative,Medium-term,663724,Index,Debt
Moderate,Short-term,270005,Value,Index
